num_expediente;tipo_accidente;distrito;estado_meteorologico;franja_horaria;tipo_via;coordenada_x_utm;coordenada_y_utm;fecha;hora_numero;nivel_lesividad
2024S028253;Colisión doble;MONCLOA-ARAVACA;Despejado;Mediodía;Vías de gran tamaño;437404,0;4477413,0;2024-10-08;13;1
2024S028254;Alcance;USERA;Nublado;Mañana;Vías de pequeño tamaño;440513,0;4469977,0;2024-10-09;8;0
2024S028255;Colisión doble;RETIRO;Lluvia débil;Mañana;Vías de gran tamaño;441334,0;4473341,0;2024-10-09;9;1
2024S028256;Caída;TETUÁN;Nublado;Mañana;Vías de pequeño tamaño;440342,0;4477857,0;2024-10-09;9;1
2024S028258;Alcance;MORATALAZ;Lluvia débil;Mañana;Vías rápidas o carreteras;445091,0;4474057,0;2024-10-09;8;0
2024S028259;Atropello a persona;MONCLOA-ARAVACA;Lluvia débil;Mañana;Vías de pequeño tamaño;432411,0;4479571,0;2024-10-09;9;1
2024S028260;Colisión doble;SAN BLAS-CANILLEJAS;Lluvia débil;Mañana;Vías de gran tamaño;449160,0;4475870,0;2024-10-09;9;2
2024S028261;Colisión doble;PUENTE DE VALLECAS;Lluvia débil;Mañana;Vías de gran tamaño;444562,0;4469884,0;2024-10-09;9;0
2024S028262;Colisión doble;CIUDAD LINEAL;Nublado;Mañana;Vías de pequeño tamaño;446706,0;4474587,0;2024-10-09;10;0
2024S028263;Choque;CHAMARTÍN;Nublado;Mediodía;Vías de pequeño tamaño;442870,0;4477319,0;2024-10-09;12;0
2024S028265;Atropello a persona;PUENTE DE VALLECAS;Lluvia débil;Mediodía;Vías de pequeño tamaño;444184,0;4469507,0;2024-10-09;13;1
2024S028266;Alcance;FUENCARRAL-EL PARDO;Lluvia débil;Mediodía;Vías de gran tamaño;439286,0;4481907,0;2024-10-09;13;0
2024S028267;Choque;CENTRO;Lluvia débil;Mediodía;Vías de pequeño tamaño;440109,0;4474711,0;2024-10-09;13;0
2024S028268;Colisión doble;CHAMARTÍN;Nublado;Mediodía;Vías de pequeño tamaño;442887,0;4477167,0;2024-10-09;12;1
2024S028269;Colisión doble;SAN BLAS-CANILLEJAS;Lluvia débil;Mediodía;Vías de gran tamaño;448081,0;4476132,0;2024-10-09;13;0
2024S028270;Colisión doble;CARABANCHEL;Lluvia débil;Mediodía;Vías de pequeño tamaño;437147,0;4469350,0;2024-10-09;12;0
2024S028271;Colisión doble;BARAJAS;Despejado;Mediodía;Instalaciones o infraestructuras;451429,0;4479478,0;2024-10-08;12;1
2024S028272;Atropello a persona;FUENCARRAL-EL PARDO;LLuvia intensa;Mediodía;Vías de pequeño tamaño;439377,0;4480524,0;2024-10-09;13;1
2024S028273;Colisión doble;CIUDAD LINEAL;Lluvia débil;Mediodía;Vías de pequeño tamaño;445790,0;4474925,0;2024-10-09;14;0
